restaurant_link,country,region,longitude,latitude,restaurant_name,count_awards
g1315192-d4256015,Italy,Emilia-Romagna,12.444278,44.062744,Da Mario,6
g187514-d3971140,Spain,Community of Madrid,-3.698974,40.415638,Inti de Oro Barrio de Las Letras,6
g187529-d6560915,Spain,Valencian Country,-0.388094,39.475338,Marcellino Pizza e Vino,6
g196531-d4606520,France,Brittany,-3.124322,47.478653,"La Crep'",6
g1746827-d3489338,Italy,Liguria,9.311653,44.422577,Da O Cason De Larvego,6
g194875-d3248455,Italy,Emilia-Romagna,10.65824,44.702175,Ristorante Pizzeria Il Faro,6
g1437610-d4062093,Spain,Castile-La Mancha,-2.429444,39.402927,Jacinto,6
g1187660-d3250890,Greece,South Aegean,27.190731,35.47424,Taverna Perama Maria,6
g187103-d4438112,France,Brittany,-1.68088,48.11376,Chawp Shop,6
g1138967-d7680738,United Kingdom,Essex,0.66457,51.54318,The Regatta Restaurant,6
g187529-d5772580,Spain,Valencian Country,-0.385344,39.477432,Restaurante La Malaquita,6
g1235694-d4097027,France,Normandy,0.516667,49.284813,Auberge La Fontaine Saint-Simeon,6
g189164-d3170278,Portugal,Central Portugal,-9.3795,38.790424,Pic Nic Sintra,6
g1598862-d6691583,Spain,Catalonia,2.866258,41.833042,"Ca L'Artau",6
g775993-d3441352,Greece,Sporades,23.491726,39.164135,Fregio Ice Cream,6
g187853-d6487836,Italy,Piedmont,7.551386,44.39373,Kombu 15,6
g187835-d2092812,Italy,Lombardy,9.07958,45.81254,Riva Cafe,6
g616229-d1870069,Romania,Transylvania,25.55273,45.59132,Restaurant Vanatorul,6
g190791-d6509857,United Kingdom,Lincolnshire,-0.643578,52.912334,teaspoon tea company,6
g1956053-d4584936,Poland,Central Poland,21.055202,52.495934,Złoty Okoń,6
g186605-d2316330,Ireland,Province of Leinster,-6.252,53.33785,Voila,6
g187056-d3171280,United Kingdom,Kent,0.558876,51.2751,The Fox & Goose,6
g635679-d732672,United Kingdom,Kent,0.514486,51.383614,Limehouse Thai Restaurant,6
g1009855-d4783634,Spain,Catalonia,0.918451,40.98895,Xiringuito Sant Roc,6
g1080032-d1335177,France,"Provence-Alpes-Cote d'Azur",6.856506,43.434723,Matuzia,6
g1064383-d7361701,Spain,Galicia,-8.381667,43.32611,Restaurante Don Garfo,6
g189541-d7716628,Denmark,Zealand,12.570647,55.676872,Lagkagehuset,6
g1190806-d3474103,Croatia,"",14.727079,44.833916,Konoba Ankora,6
g1071013-d6487019,United Kingdom,Lancashire,-2.888567,53.573902,The Cherry House,6
g188636-d2315715,Belgium,Flanders,4.397307,51.210583,Meat and Eat,6
g187457-d6534694,Spain,Basque Country,-1.980079,43.319534,Zazpi Bar-Restaurante,6
g2100958-d6216775,Spain,Basque Country,-2.908656,43.397648,Restaurante Andraka,6
g187484-d2724117,Spain,Cantabria,-3.807778,43.460213,La Gloria de Carriedo,6
g187175-d6784661,France,Occitanie,1.44004,43.601826,La Santine,6
g187148-d6564814,France,Ile-de-France,2.142425,48.805363,Le Sept,6
g190729-d6602334,United Kingdom,Yorkshire,-1.491824,53.67873,"Duchniak's Coffee Shop and Restaurant",6
g187454-d779145,Spain,Basque Country,-2.926079,43.25574,El Perro Chico,6
g187206-d5600133,France,Nouvelle-Aquitaine,-1.145803,46.162807,Cyclo-pousse Saigon,6
g1079423-d5614507,Spain,Castile and Leon,-4.641658,40.476746,El Chato,6
g227661-d3416026,Italy,Sardinia,9.614044,41.003323,Blu Restaurant,6
g186340-d6563422,United Kingdom,Yorkshire,-1.239081,54.569542,Meze Lounge,6
g1063518-d6931244,Italy,Basilicata,16.278221,40.14473,Ristorante Pizzeria da Vincenzo a Bomb,6
g187895-d3578750,Italy,Tuscany,11.311891,43.768147,Pizza Man - Via Rocca Tedalda,6
g189852-d1043455,Sweden,"",18.077599,59.330406,Wallmans Stockholm,6
g1486344-d3931163,United Kingdom,Essex,0.47115,52.069073,The Red Lion,6
g503718-d5312496,United Kingdom,Cumbria,-2.692894,54.763824,The Crown Inn,6
g1939317-d3625612,France,Nouvelle-Aquitaine,-0.226663,44.56472,Le Pampaillet,6
g187231-d2717541,France,"Provence-Alpes-Cote d'Azur",7.504665,43.775574,Auberge Provencale,6
g2490190-d4924256,United Kingdom,West Sussex,-0.779122,50.993332,Hamilton Arms -Nava Thai,6
g1064416-d5505171,Spain,Asturias,-5.739889,43.383663,Asador de Vega,6
g1421458-d6834269,Greece,Peloponnese,23.103834,36.477654,Neraida,6
g303829-d3308555,Croatia,Istria,13.590833,45.22738,Restaurant Divino,6
g189934-d779565,Finland,Uusimaa,24.949202,60.158634,Restaurant Saslik,6
g1063690-d4088126,Spain,Community of Madrid,-3.970993,40.680252,Taberna la Cita,6
g295394-d2355873,Romania,Transylvania,25.604172,45.650154,"Ceasu' Rau",6
g187867-d7706815,Italy,Veneto,11.884884,45.41395,Ytheca by Fiorital,6
g186349-d2261824,United Kingdom,Northamptonshire,-0.897468,52.23409,"Aladdin's",6
g1077975-d3489374,Italy,Lazio,11.944485,42.72351,Da Ciccio Ala Capannaccia,6
g1367757-d3389427,France,Auvergne-Rhone-Alpes,4.237279,44.479385,Le Bouche à Oreille,6
g1945724-d7194157,France,Pays de la Loire,-1.268947,47.163616,Le Crépillon,6
g198481-d6580129,Germany,Bavaria,12.978139,47.610313,Gasthof Bodner,6
g1078183-d4355149,Italy,Tuscany,11.385386,44.111145,Il Sagramoso Ristorante,6
g187849-d3820699,Italy,Lombardy,9.132497,45.50883,Pizzeria da Giuliano,6
g673856-d3293382,Spain,Catalonia,3.124914,42.246113,El Dorado,6
g186439-d3203236,Wales,North Wales,-3.131189,52.97355,Sun Trevor,6
g1208081-d3378828,United Kingdom,Tyne and Wear,-1.47324,54.83308,The Mill,6
g186460-d2550298,Wales,Southern Wales,-3.176242,51.477695,"Servini's Cafe",6
g187526-d6548647,Spain,Valencian Country,0.0632,38.641666,Razo,6
g194798-d3185388,Italy,Sicily,14.927866,38.503887,Sangre Rojo,6
g186305-d3902873,United Kingdom,Hertfordshire,-0.086913,51.800224,The Millstream,6
g1842316-d3382497,Spain,Basque Country,-3.371576,43.247715,Restaurante Sidreria El Cartero,6
g580419-d3345195,United Kingdom,West Sussex,-0.328229,51.061943,Artisan Tea Rooms & Patisserie,6
g528818-d1901204,United Kingdom,Greater London,-0.329403,51.42729,Charm Thai,6
g186466-d1538852,Wales,Southern Wales,-3.951928,51.618492,Garuda Indonesian Restaurant,6
g186298-d3174581,United Kingdom,Hampshire,-1.06757,50.84285,The Taste of China,6
g4126372-d7310281,France,Ile-de-France,2.021654,49.029957,Swades,6
g1068165-d1987137,Spain,Balearic Islands,2.951564,39.793484,Es Mirador de Monnaber Restaurant,6
g196504-d7372169,France,Nouvelle-Aquitaine,-1.539876,43.50108,Chez Patxi,6
g1066093-d2621933,Portugal,Northern Portugal,-8.664374,41.241734,Tomar de Sal,6
g187527-d3575178,Spain,Valencian Country,-0.694648,38.01021,Gran China,6
g187791-d7759406,Italy,Lazio,12.39448,41.7883,Osteria29,6
g4586033-d2699046,Wales,Powys,-3.803869,51.78674,The New Tredegar Arms,6
g194946-d4179787,Italy,Tuscany,10.238506,43.874004,Ristorante del Bagno Il Sole,6
g190746-d7726730,United Kingdom,Somerset,-3.469724,51.20733,The Turntable Cafe,6
g186518-d911391,Scotland,Dundee,-3.051658,56.492847,The Birkhill Inn,6
g499575-d7697006,United Kingdom,Leicestershire,-1.341015,52.841278,The Castle Inn,6
g187079-d1322566,France,Nouvelle-Aquitaine,-0.579742,44.83683,"PHÉNIX D'OR",6
g1009327-d4287888,Italy,Puglia,17.999043,40.293003,RE Matto,6
g1023835-d1404839,United Kingdom,East Sussex,-0.062264,50.902435,The Half Moon Pub,6
g887213-d2207731,Ireland,Province of Connacht,-8.876496,53.722073,Flanagans Pub,6
g186338-d1837788,United Kingdom,London,-0.106165,51.51979,The One Tun,6
g1441322-d2470904,Portugal,Alentejo,-8.779726,38.35377,Restaurante Dona Bia,6
g551630-d7289196,United Kingdom,Devon,-3.512411,50.395622,The New Quay Inn,6
g1725279-d2427305,Italy,Emilia-Romagna,11.627654,44.556366,Locanda Pincelli,6
g644310-d4789692,Spain,Aragon,0.514561,42.599762,Restaurante  La LLardana,6
g946458-d1881203,Germany,Baden-Wurttemberg,7.659794,47.606274,Gasthaus zum Kranz,6
g187130-d2333016,France,Centre-Val de Loire,0.69444,47.389866,La Maison Berbere,6
g1457352-d7705166,France,Nouvelle-Aquitaine,-1.070242,45.865868,Auberge Saint Denis,6
g186338-d3847350,United Kingdom,London,-0.101899,51.513325,Krua by Nathong,6
g7690077-d4133982,Italy,Lazio,12.839972,42.521786,Ristorante Maria,6
g187897-d1641135,Italy,Tuscany,10.314725,43.55472,Trattoria Da Galileo,6
g676295-d6690585,Greece,Ionian Islands,19.700624,39.796185,"D'amour Beach Bar-Restaurant",6
g319804-d989317,Spain,Navarra,-1.650406,42.480846,Casa Zanito,6
g187147-d5041883,France,Ile-de-France,2.340149,48.886967,Biscuiterie de Montmartre,6
g186338-d4309739,United Kingdom,London,-0.16385,51.589485,Bufi,6
g608811-d7787412,France,"Provence-Alpes-Cote d'Azur",5.052416,43.917572,Lou Burger,6
g1189834-d6648800,Greece,South Aegean,25.385609,36.362896,Caldera Romantica Restaurant,6
g274887-d2174034,Hungary,Central Hungary,19.051805,47.501568,Prime Steak and Wine,6
g187323-d1481146,Germany,Berlin,13.381535,52.51433,Alt-Berliner Wirtshaus,6
g194888-d7180127,Italy,Abruzzo,14.014435,42.66103,Raptus Arrosticini,6
g504186-d2537902,United Kingdom,Tyne and Wear,-1.42463,55.00035,Royal Tandoori,6
g187129-d1327906,France,Centre-Val de Loire,1.912222,47.900177,"Le Ptit'Gavroche",6
g186370-d1381818,United Kingdom,Somerset,-2.357023,51.378006,Brasserie Brunel,6
g652355-d6637363,The Netherlands,"",3.438636,51.52719,Brasserie de Zeezot,6
g669660-d1893684,Spain,Aragon,0.026876,42.171585,Cueva Reina,6
g1022347-d5797056,France,Occitanie,2.973588,42.59847,"Mam's Kebab",6
g194900-d7242454,Italy,Liguria,7.771354,43.814617,Glam Restaurant Sanremo Villa Noseda,6
g644324-d998117,Spain,Castile and Leon,-4.914942,41.308975,Monaco 1962,6
g1643631-d4497273,The Netherlands,"",3.393365,51.30072,Grill Restaurant Passie,6
g552013-d2463359,Wales,North Wales,-4.41874,52.889107,Pili Palas,6
g187772-d2014771,Italy,Basilicata,16.605413,40.667473,"GROOVE by Hemingway's",6
g1939189-d3971097,Italy,Veneto,12.842671,45.834415,Hosteria Piccolo Mulino,6
g189117-d6696477,Portugal,Algarve,-8.679606,37.09378,Brasão,6
g644282-d2094900,Italy,Tuscany,11.146149,43.472584,Koori Sushi,6
g6609221-d3973109,Italy,Friuli Venezia Giulia,13.366183,45.91726,Agriturismo Il Cammino,6
g274772-d2531285,Poland,Southern Poland,19.929539,50.058464,Massolit Books and Cafe,6
g187147-d719887,France,Ile-de-France,2.346386,48.889084,Sale e Pepe,6
g635875-d7807050,Italy,Puglia,17.219072,40.99608,Joya Canti di Stagione,6
g187234-d1324399,France,"Provence-Alpes-Cote d'Azur",7.254783,43.694904,"Sable d'Or",6
g187059-d2177092,United Kingdom,West Midlands,-2.0081,52.587334,The Parkbrook -Bar & Grill-,6
g189112-d2079553,Portugal,Algarve,-8.249649,37.087894,A Taberna do Pescador,6
g186225-d717952,United Kingdom,Cambridgeshire,0.13917,52.202377,Cambridge Blue,6
g499612-d7100050,United Kingdom,Yorkshire,-1.340844,54.22526,Fantinos Italian Restaurant.,6
g186534-d2587532,Scotland,Glasgow,-4.273625,55.866116,Akbars,6
g1190083-d3660009,Spain,Canary Islands,-16.535519,28.043585,Manfreds Soul Cafe,6
g1064230-d6600252,Spain,Valencian Country,-0.483846,38.346767,Thai Corner,6
g504118-d1951115,United Kingdom,Somerset,-2.676259,50.964397,The Carpenters Arms,6
g187527-d3516096,Spain,Valencian Country,-0.679999,37.976162,El Charro Negro,6
g187153-d6405214,France,Occitanie,3.876194,43.60782,Le Paresseur,6
g194791-d4012224,Italy,Puglia,18.170956,40.355885,La Scarpetta Hostaria,6
g1641932-d2306302,France,Bourgogne-Franche-Comte,5.218981,46.634285,Le Moulin de Bourgchateau,6
g187079-d7212452,France,Nouvelle-Aquitaine,-0.563392,44.834343,La Taupiniere,6
g189403-d6478898,Greece,Attica,23.645315,37.94648,Stoa Rakadiko,6
g194867-d7785030,Italy,Campania,14.533603,40.611835,La Moressa Italian Bistrò & Lounge Bar,6
g676659-d2090866,France,Occitanie,2.872013,43.2675,Les Trois Cochons,6
g562712-d1333765,France,Brittany,-2.964512,48.07028,"L'Aiglon Restaurant",6
g499519-d3795193,United Kingdom,Cheshire,-2.388976,53.14029,Miola Coffee Lounge,6
g776032-d7124567,Greece,Crete,26.252302,35.198036,Restaurant ELENA,6
g6739853-d6725161,Spain,Cantabria,-3.702952,43.208828,Restaurante La Vieja Escuela,6
g1733775-d3674154,The Netherlands,"",6.9803,52.3765,Singraven Restaurant Watermolen De,6
g189186-d6784665,Portugal,Northern Portugal,-8.740833,41.351944,republika restaurante,6
g187147-d6784007,France,Ile-de-France,2.349475,48.844563,"Mouffetard Saigon's",6
g194900-d2572581,Italy,Liguria,7.776356,43.817543,Cocoon,6
g2046542-d2463874,United Kingdom,Gloucestershire,-2.059833,51.947056,The Royal Oak,6
g642179-d4356397,Italy,Puglia,15.704317,41.69601,Coppa Cicuta,6
g644326-d4572267,Spain,Catalonia,3.20085,42.05528,Santa Anna Restaurant,6
g1096533-d2432451,United Kingdom,West Sussex,-0.474639,50.82839,The Spotted Cow,6
g2077421-d3154590,Italy,Piedmont,7.632955,44.94655,Antica Piazza delle Grida,6
g635791-d1334222,France,Bourgogne-Franche-Comte,6.358456,46.903255,Restaurant la Pinte Comtoise,6
g1073586-d6707590,France,Corsica,8.808372,42.52586,Casa Maio,6
g641834-d4880516,Belgium,Flanders,2.662203,51.072613,De Beurs,6
g1951131-d4520985,Italy,Piedmont,7.88837,44.37485,Il Groglio,6
g187080-d2252874,France,Nouvelle-Aquitaine,-1.564017,43.479607,Bistrot du Haou,6
g187075-d1186735,France,Grand Est,7.742222,48.581062,Le Pont Tournant,6
g1080054-d7136163,France,"Provence-Alpes-Cote d'Azur",5.893889,43.08099,Le Cedrus,6
g651999-d6525373,Italy,Puglia,17.167727,40.884373,Sciakallaghan Pub,6
g187497-d3668516,Spain,Catalonia,2.157249,41.402023,La Vespa Burger Bar,6
g295370-d6691638,Croatia,Dalmatia,16.469929,43.502563,The Caper Grill,6
g528843-d1418377,United Kingdom,Cornwall,-5.093731,50.022476,The Paris Hotel,6
g186273-d5790365,United Kingdom,East Sussex,-0.143823,50.822987,Noodles Soup,6
g187458-d6418069,Spain,Basque Country,-2.674497,42.84821,Bar-Restaurante Erkiaga,6
g186226-d1581725,United Kingdom,Cambridgeshire,0.266353,52.40013,The Fish House Ely,6
g661690-d2398328,United Kingdom,Nottinghamshire,-0.941399,53.32273,Gurkha Tandoori,6
g187791-d3364923,Italy,Lazio,12.542489,41.88941,Al Vialetto,6
g503851-d3544438,United Kingdom,Hampshire,-1.452234,50.81774,Old Bakehouse,6
g194687-d3185337,Italy,Campania,14.985346,40.606464,Vitale Ristorante Pizzeria,6
g642180-d6419449,Italy,Sardinia,9.5695,40.27453,Turismo Rurale Filieri,6
g187147-d4326707,France,Ile-de-France,2.402038,48.837337,Au Tramway,6
g552009-d4084507,Wales,Southern Wales,-2.717932,51.8106,Salt & Pepper Coffee Shop,6
g499501-d2242166,United Kingdom,Cambridgeshire,-0.268621,52.227917,Coach House,6
g187791-d6467635,Italy,Lazio,12.477344,41.7665,Panini Al 100,6
g616130-d7269258,France,Auvergne-Rhone-Alpes,5.447396,45.564762,"L'Esquisse",6
g503903-d2017021,United Kingdom,Kent,0.89089,51.31355,Moonlight Cafe,6
g189839-d3359804,Sweden,"",13.010737,55.607983,Occo Restaurant,6
g187367-d3531219,Germany,North Rhine-Westphalia,6.083303,50.77695,Akl Libanesisches Restaurant,6
g504032-d2538678,United Kingdom,Northumberland,-1.704128,55.412727,Di Sopra,6
g187497-d6771473,Spain,Catalonia,2.157087,41.390514,Restaurant Sergi de Mei�,6
g1041941-d2704166,United Kingdom,Yorkshire,-1.891166,53.981453,The Tea Cottage at Bolton Abbey,6
g1087262-d7116200,Poland,Central Poland,20.721907,50.462173,Słoneczne BISTRO,6
g776125-d3727471,Italy,Sardinia,9.161528,40.907852,Ristorante Pizzeria Bonvicino,6
g189118-d4498822,Portugal,Algarve,-8.06506,37.049133,Tea House Oriental,6
g196539-d4340136,France,Bourgogne-Franche-Comte,4.86208,46.779446,Le Poisson Bleu,6
g503839-d1043764,United Kingdom,Hampshire,-1.499808,50.98805,La Parisienne,6
g194834-d4554572,Italy,Abruzzo,14.175772,42.503117,New Sporting,6
g190747-d943086,United Kingdom,Bedfordshire,-0.427595,51.918133,Warden Beefeater,6
g187906-d4049232,Italy,Umbria,12.594498,43.35802,Ristorante Parco Coppo,6
g196673-d6456627,France,"Provence-Alpes-Cote d'Azur",5.539131,43.213547,Divino,6
g186394-d3255149,United Kingdom,Tyne and Wear,-1.611645,54.977318,Zapatista Burrito Bar,6
g1077056-d2305146,Italy,Lazio,12.153928,42.303658,Rivafiorita,6
g187080-d5011160,France,Nouvelle-Aquitaine,-1.5646,43.481842,La Marine,6
g425005-d4562492,France,Nouvelle-Aquitaine,0.767975,44.5325,Le Bistrot du Prince Noir,6
g274735-d4508732,Poland,Northern Poland,18.560757,54.443096,Cuda Wianki,6
g187234-d7344702,France,"Provence-Alpes-Cote d'Azur",7.272659,43.701942,Maido,6
g776256-d4690334,France,Nouvelle-Aquitaine,-1.232017,44.692078,Chez Guillaume,6
g642175-d6580868,Italy,Lombardy,10.045569,45.910248,Cascina Calpa,6
g187323-d6999551,Germany,Berlin,13.349575,52.498306,Romeo und Romeo,6
g186525-d6809260,Scotland,Edinburgh,-3.189731,55.949753,Burgers and Beers Grillhouse,6
g1537404-d3190656,Italy,Veneto,12.352985,45.968636,Al Castelletto,6
g196634-d5243200,France,Hauts-de-France,3.088683,50.37176,"L'Indigo",6
g1064202-d2314306,Spain,Canary Islands,-16.4575,28.437855,Restaurante EL SALON,6
g1439807-d2194401,Italy,"Valle d'Aosta",7.523994,45.74282,Antica Trattoria Champagne,6
g1907495-d3901979,United Kingdom,Isle of Wight,-1.254728,50.633335,Chocolate Island,6
g3843986-d5270578,United Kingdom,Devon,-3.643169,50.487537,The Wellington Inn,6
g187785-d3438131,Italy,Campania,14.217501,40.826298,Paradisoblanco,6
g1488740-d3448284,Italy,Veneto,11.217569,45.70166,Paradiso,6
g651709-d7045348,France,Centre-Val de Loire,0.621167,47.113,Bistrot Comme Hier,6
g187111-d3473587,France,Bourgogne-Franche-Comte,5.041689,47.320534,Le Carpe Diem,6
g2360021-d5850556,Italy,Piedmont,7.767291,45.350662,Agriturismo La Desiderata,6
g2443300-d5038648,Spain,Navarra,-1.24466,42.93006,Bar Ibarraetxea,6
g187412-d4944356,Germany,Schleswig-Holstein,10.170347,54.427505,Elmövenschiss,6
g315963-d6487956,United Kingdom,Dorset,-2.165169,50.857002,Yellow Bicycle Cafe,6
g12196505-d2219771,Greece,Crete,24.398426,35.230297,Iliomanolis Taverna,6
g1883688-d3846884,Spain,Castile and Leon,-3.039907,41.981335,El Cenador,6
g644109-d5798091,France,Occitanie,3.929978,43.528584,Les saveurs de mag et christian,6
g659633-d1746256,Spain,Canary Islands,-13.511658,28.981817,Restaurante Las Caletas Casa Tomas,6
g186338-d1980464,United Kingdom,London,-0.208191,51.42201,The Alexandra,6
g776106-d6407135,Italy,Emilia-Romagna,11.314285,44.81349,Ristorante Pizzeria Il Cantagallo,6
g2360050-d3656921,Italy,Piedmont,8.306751,44.96099,La Culla Di Bacco,6
g1238553-d6696385,Italy,Emilia-Romagna,10.771121,44.230503,Osteria Il Forte,6
g551740-d6665534,Scotland,East Lothian,-3.059529,55.938946,"Crolla's Italian Kitchen",6
g1597962-d7727356,Italy,Emilia-Romagna,10.382082,44.639626,Casa Ramona Ristorante,6
g186338-d7219434,United Kingdom,London,-0.14294,51.517666,by CHLOE. Oxford Circus,6
g274799-d3902943,Poland,Southern Poland,15.735061,50.90308,Kucie Smaku,6
g652289-d746477,The Netherlands,"",5.657203,51.795944,"Restaurant 't Veerhuis",6
g2078453-d5772679,United Kingdom,Yorkshire,-1.907021,53.61056,The Olive Branch Inn,6
g7614165-d7590051,France,Auvergne-Rhone-Alpes,5.427525,44.379986,"L'Escargot Rouge",6
g2369035-d2517998,Italy,Emilia-Romagna,11.907579,43.96915,Agriturismo La Barroccia,6
g2026188-d4274107,Spain,Canary Islands,-14.02155,28.211218,Da Nonna,6
g187870-d1171801,Italy,Veneto,12.3248,45.432858,Osteria ai 4 Feri,6
g1400553-d3453362,Italy,Tuscany,9.96963,44.20948,Il Gelatiere,6
g1535800-d4583604,Greece,Crete,23.544851,35.27617,Taverna Kalomirakis Family,6
g1102835-d4208446,Italy,Lombardy,9.17696,45.69676,Pasticceria Rovagnati,6
g274793-d6755787,Poland,Southern Poland,19.942844,49.28271,Zabi Dwor Eatery,6
g274768-d2306809,Poland,Southern Poland,19.008032,50.24474,Patio-Park,6
g947008-d7216473,Spain,Andalucia,-6.965435,37.18582,Meson Diego,6
g196555-d4037186,France,Bourgogne-Franche-Comte,6.79721,47.511578,Creperie Les Alizes,6
g274854-d2693633,Poland,Central Poland,18.58001,53.017574,Widelec,6
g187432-d7233844,Spain,Andalucia,-6.298557,36.53059,El Viajero Del Merkao,6
g616172-d6539463,Italy,Campania,14.411122,40.632404,Trattoria Italia,6
g187147-d782261,France,Ile-de-France,2.357231,48.85648,"L'Alivi",6
g504076-d3568590,United Kingdom,Nottinghamshire,-1.107828,53.303806,"Papa's",6
g8778288-d18978428,Spain,Catalonia,0.831005,42.699234,Meson Benito,6
g1080872-d3534646,France,Pays de la Loire,-2.173492,47.22866,Créperie le Rozell,6
g187225-d6514400,France,"Provence-Alpes-Cote d'Azur",6.748202,43.42342,La Pizza,6
g262060-d3421287,Spain,Catalonia,3.175556,42.263332,Pizzeria Ristorante Marechiaro Trinitat,6
g319780-d2319746,Greece,Peloponnese,22.798084,37.566917,Kakanarakis 1986,6
g186253-d7282773,United Kingdom,Devon,-3.577534,50.349144,Bushell’s Riverside,6
g2691023-d4106098,Italy,Piedmont,8.518333,45.64619,Vecchio Fienile,6
g2002390-d7736530,Czech Republic,Bohemia,15.792808,49.952595,Restaurant U Paluku,6
g652129-d4601524,Spain,Catalonia,1.982558,41.266327,TasKa Restaurant & Tapas,6
g198466-d2077937,Germany,Bavaria,10.237544,50.042057,Pomodoro Osteria,6
g187269-d5062763,France,Auvergne-Rhone-Alpes,4.387585,45.439323,Le Glasgow,6
g274693-d3335525,Czech Republic,Bohemia,15.832778,50.21,Na Hrade,6
g187529-d7618496,Spain,Valencian Country,-0.37324,39.46221,El Camerino Ruzafa,6
g187855-d7791720,Italy,Piedmont,7.690826,45.06567,A6 Sciamadda,6
g2447377-d6641980,France,Hauts-de-France,4.098766,49.92841,Au Delice du Bois,6
g1643697-d3169649,Italy,Lazio,12.924155,42.406532,Ristorante da Valerio,6
g187048-d5787554,United Kingdom,Derbyshire,-1.405106,52.921555,Tamarind,6
g187502-d4037593,Spain,Catalonia,1.807139,41.237644,Restaurante Puravida,6
g6754342-d3199676,Greece,Crete,25.727205,35.300167,"taverna maria's",6
g1096058-d4740972,Italy,Trentino-Alto Adige,11.817918,46.428864,Rifugio Contrin,6
g1957136-d5506844,Spain,Aragon,-0.233439,40.942017,"Almendro's",6
g666643-d3932497,France,Centre-Val de Loire,0.839399,47.390995,Crêperie Le Bas Rocher,6
g187164-d2562874,France,Grand Est,6.16117,49.09857,Kashmir,6
g1079358-d6974150,France,Nouvelle-Aquitaine,-1.241069,44.674454,White Garden,6
g1657605-d1548580,United Kingdom,Oxfordshire,-1.05687,51.64987,The Lord Nelson,6
g190747-d939919,United Kingdom,Bedfordshire,-0.411876,51.877434,La Dolce Vita,6
g186538-d3340653,Scotland,Scottish Highlands,-4.458949,57.483818,The Priory Hotel Restaurant and Bar Bistro,6
g194774-d4039909,Italy,Sicily,15.26556,37.81661,Ristorante Valentino,6
g187803-d2423812,Italy,Emilia-Romagna,10.928279,44.64374,I Picari il ristorante,6
g504186-d2525686,United Kingdom,Tyne and Wear,-1.409218,54.985123,Fountain Flaming Grill,6
g3532281-d6027833,Italy,Campania,14.698056,41.333664,Agriturismo Mastrofrancesco,6
g616196-d7001476,Italy,Tuscany,11.433354,43.469135,Taverna Le Cose Buone,6
g488299-d3228628,Italy,Campania,14.217539,40.552227,La Tablita Restaurant & Winebar,6
g187330-d1892431,Germany,Brandenburg,13.060595,52.40315,La Maison du Chocolat,6
g187147-d946173,France,Ile-de-France,2.361909,48.855328,Casa San Pablo,6
g2448799-d2698872,France,Hauts-de-France,1.495135,50.109444,ches Troes Piots Coechons,6
g1216979-d2313970,United Kingdom,Cotswolds,-2.151973,51.721073,Lavender Bakehouse,6
g186383-d6930929,United Kingdom,East Anglia,0.73003,52.15504,The Swan Inn,6
g1175544-d4815641,Greece,South Aegean,28.115982,36.212955,Mavrios,6
g659968-d2219230,Spain,Balearic Islands,4.280866,39.81445,Casa Fermin,6
g187906-d6621477,Italy,Umbria,12.574932,43.353493,La Cresciamia,6
g190770-d2672001,United Kingdom,Rutland,-0.729581,52.671097,The Wheatsheaf,6
g946905-d3417372,Italy,Trentino-Alto Adige,11.243775,46.412144,"Grill Restaurant ""Spuntloch""",6
g1077048-d2480179,Italy,Campania,14.517933,40.706432,"Pizzeria O' Zi Aniello",6
g187791-d7657943,Italy,Lazio,12.569356,41.85576,Sellero & Ventresca,6
g186338-d734172,United Kingdom,London,-0.138997,51.522697,Indian YMCA Dining Hall,6
g608997-d3846999,Spain,Asturias,-5.43131,43.48177,El Tonel,6
g186237-d3512371,United Kingdom,Cornwall,-4.45402,50.353664,Ye Olde Salutation Inn,6
g616196-d6748940,Italy,Tuscany,11.389442,43.4427,Il Ristoro di Villa Pianigiani,6
g194693-d3135222,Italy,Lazio,11.985278,42.644867,Il Toscano,6
g186394-d7311027,United Kingdom,Tyne and Wear,-1.613146,54.974083,The Botanist,6
g191266-d3346627,Scotland,Stirling,-3.950111,56.104763,The Inn at Torbrex,6
g616162-d7158358,Greece,Crete,25.460716,35.283413,Galaxy Gastropub,6
g186368-d7260574,United Kingdom,Shropshire,-2.756039,52.707745,House of Yum,6
g616239-d7021567,Spain,Balearic Islands,2.387288,39.548477,La Gourmeda,6
g186399-d3182853,United Kingdom,Warwickshire,-1.708894,52.18981,The Windmill Inn,6
g194743-d1778342,Italy,Lazio,11.790867,42.09244,Sora Maria,6
g1185701-d3911902,Italy,Trentino-Alto Adige,10.838442,45.932808,Rifugio San Pietro,6
g194941-d1900261,Italy,Liguria,8.5726,44.35855,La Grotta Azzurra,6
g775851-d4776633,Greece,Ionian Islands,20.87579,37.807217,"Sandra's Bar",6
g3198131-d5797300,France,Auvergne-Rhone-Alpes,4.716508,44.438095,"L'horloge gourmande",6
g194745-d7023341,Italy,Veneto,12.104128,46.543106,Ristorante Col Druscie 1778,6
g315982-d7183137,United Kingdom,Yorkshire,-0.794039,54.55536,Captain Cook Inn,6
g1080301-d1952423,Spain,Andalucia,-4.73924,36.525043,El Soto de Marbella Restaurant,6
g2024796-d2023557,Spain,Canary Islands,-14.035779,28.351332,Casa Luis,6
g187373-d7271967,Germany,North Rhine-Westphalia,6.781301,51.243004,Lezzet Restaurant,6
g186338-d2257041,United Kingdom,London,-0.126589,51.51249,"Bill's Covent Garden (St Martin's Courtyard)",6
